Date;Venue;Run;Gate;ref_time;athlete_name_ref;athlete_2_time;athlete_name_athlete_2;time_difference;relative_time_difference
2024-02-25;Palisades;1;60;0.8;STRASSER Linus;0.916;YULE Daniel;-0.11599999999999999;-14.499999999999998
2024-02-25;Palisades;2;60;0.683;MCGRATH Atle Lie;0.733;MEILLARD Loic;-0.04999999999999993;-7.320644216691058
2024-02-25;Palisades;1;61;0.766;STRASSER Linus;0.766;YULE Daniel;0.0;0.0
2024-02-25;Palisades;2;61;0.733;MCGRATH Atle Lie;0.65;MEILLARD Loic;0.08299999999999996;11.323328785811727
2024-02-25;Palisades;1;62;0.4;STRASSER Linus;0.4;YULE Daniel;0.0;0.0
2024-02-25;Palisades;2;62;;MCGRATH Atle Lie;;MEILLARD Loic;;
2024-02-25;Palisades;1;63;0.75;STRASSER Linus;0.833;YULE Daniel;-0.08299999999999996;-11.066666666666663
2024-02-25;Palisades;2;63;;MCGRATH Atle Lie;;MEILLARD Loic;;
2024-02-25;Palisades;1;64;;STRASSER Linus;;YULE Daniel;;
2024-02-25;Palisades;2;64;;MCGRATH Atle Lie;;MEILLARD Loic;;
2024-02-25;Palisades;1;65;;STRASSER Linus;;YULE Daniel;;
2024-02-25;Palisades;2;65;;MCGRATH Atle Lie;;MEILLARD Loic;;
2024-02-25;Palisades;1;66;;STRASSER Linus;;YULE Daniel;;
2024-02-25;Palisades;2;66;;MCGRATH Atle Lie;;MEILLARD Loic;;
2024-02-25;Palisades;1;67;;STRASSER Linus;;YULE Daniel;;
2024-02-25;Palisades;2;67;;MCGRATH Atle Lie;;MEILLARD Loic;;
2024-02-25;Palisades;1;68;;STRASSER Linus;;YULE Daniel;;
2024-02-25;Palisades;2;68;;MCGRATH Atle Lie;;MEILLARD Loic;;
2024-03-17;Saalbach;1;1;1.4;HAUGAN Timon;0.9;MEILLARD Loic;0.4999999999999999;35.71428571428571
2024-03-17;Saalbach;2;1;1.0;GINNIS AJ;0.966;AERNI Luca;0.03400000000000003;3.400000000000003
2024-03-17;Saalbach;1;2;0.866;HAUGAN Timon;0.833;MEILLARD Loic;0.03300000000000003;3.8106235565819895
2024-03-17;Saalbach;2;2;0.733;GINNIS AJ;0.733;AERNI Luca;0.0;0.0
2024-03-17;Saalbach;1;3;0.666;HAUGAN Timon;0.833;MEILLARD Loic;-0.16699999999999993;-25.075075075075066
2024-03-17;Saalbach;2;3;0.7;GINNIS AJ;0.833;AERNI Luca;-0.133;-19.000000000000004
2024-03-17;Saalbach;1;4;0.833;HAUGAN Timon;0.833;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;4;0.766;GINNIS AJ;0.8;AERNI Luca;-0.03400000000000003;-4.4386422976501345
2024-03-17;Saalbach;1;5;0.4;HAUGAN Timon;0.433;MEILLARD Loic;-0.032999999999999974;-8.249999999999993
2024-03-17;Saalbach;2;5;0.8;GINNIS AJ;0.9;AERNI Luca;-0.09999999999999998;-12.499999999999996
2024-03-17;Saalbach;1;6;0.766;HAUGAN Timon;0.833;MEILLARD Loic;-0.06699999999999995;-8.746736292428192
2024-03-17;Saalbach;2;6;1.233;GINNIS AJ;1.333;AERNI Luca;-0.09999999999999987;-8.11030008110299
2024-03-17;Saalbach;1;7;0.833;HAUGAN Timon;0.833;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;7;0.833;GINNIS AJ;0.8;AERNI Luca;0.03299999999999992;3.961584633853532
2024-03-17;Saalbach;1;8;0.833;HAUGAN Timon;1.0;MEILLARD Loic;-0.16700000000000004;-20.04801920768308
2024-03-17;Saalbach;2;8;0.833;GINNIS AJ;0.8;AERNI Luca;0.03299999999999992;3.961584633853532
2024-03-17;Saalbach;1;9;0.833;HAUGAN Timon;0.833;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;9;0.733;GINNIS AJ;0.8;AERNI Luca;-0.06700000000000006;-9.140518417462491
2024-03-17;Saalbach;1;10;0.833;HAUGAN Timon;0.8;MEILLARD Loic;0.03299999999999992;3.961584633853532
2024-03-17;Saalbach;2;10;1.2;GINNIS AJ;1.2;AERNI Luca;0.0;0.0
2024-03-17;Saalbach;1;11;0.733;HAUGAN Timon;0.766;MEILLARD Loic;-0.03300000000000003;-4.502046384720332
2024-03-17;Saalbach;2;11;0.8;GINNIS AJ;0.8;AERNI Luca;0.0;0.0
2024-03-17;Saalbach;1;12;0.8;HAUGAN Timon;0.8;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;12;0.8;GINNIS AJ;0.933;AERNI Luca;-0.133;-16.625
2024-03-17;Saalbach;1;13;0.866;HAUGAN Timon;0.833;MEILLARD Loic;0.03300000000000003;3.8106235565819895
2024-03-17;Saalbach;2;13;1.0;GINNIS AJ;0.966;AERNI Luca;0.03400000000000003;3.400000000000003
2024-03-17;Saalbach;1;14;1.0;HAUGAN Timon;1.033;MEILLARD Loic;-0.03299999999999992;-3.299999999999992
2024-03-17;Saalbach;2;14;0.7;GINNIS AJ;0.8;AERNI Luca;-0.10000000000000009;-14.285714285714299
2024-03-17;Saalbach;1;15;1.0;HAUGAN Timon;0.833;MEILLARD Loic;0.16700000000000004;16.700000000000003
2024-03-17;Saalbach;2;15;1.033;GINNIS AJ;0.9;AERNI Luca;0.1329999999999999;12.875121006776372
2024-03-17;Saalbach;1;16;0.866;HAUGAN Timon;0.966;MEILLARD Loic;-0.09999999999999998;-11.547344110854501
2024-03-17;Saalbach;2;16;0.733;GINNIS AJ;0.933;AERNI Luca;-0.20000000000000007;-27.285129604365633
2024-03-17;Saalbach;1;17;0.9;HAUGAN Timon;0.866;MEILLARD Loic;0.03400000000000003;3.7777777777777812
2024-03-17;Saalbach;2;17;1.233;GINNIS AJ;1.266;AERNI Luca;-0.03299999999999992;-2.6763990267639834
2024-03-17;Saalbach;1;18;0.466;HAUGAN Timon;0.466;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;18;0.8;GINNIS AJ;0.866;AERNI Luca;-0.06599999999999995;-8.249999999999993
2024-03-17;Saalbach;1;19;0.9;HAUGAN Timon;0.866;MEILLARD Loic;0.03400000000000003;3.7777777777777812
2024-03-17;Saalbach;2;19;1.2;GINNIS AJ;1.2;AERNI Luca;0.0;0.0
2024-03-17;Saalbach;1;20;0.866;HAUGAN Timon;0.866;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;20;0.7;GINNIS AJ;0.8;AERNI Luca;-0.10000000000000009;-14.285714285714299
2024-03-17;Saalbach;1;21;0.8;HAUGAN Timon;0.833;MEILLARD Loic;-0.03299999999999992;-4.124999999999989
2024-03-17;Saalbach;2;21;0.866;GINNIS AJ;0.9;AERNI Luca;-0.03400000000000003;-3.926096997690535
2024-03-17;Saalbach;1;22;0.9;HAUGAN Timon;0.833;MEILLARD Loic;0.06700000000000006;7.444444444444451
2024-03-17;Saalbach;2;22;0.866;GINNIS AJ;0.833;AERNI Luca;0.03300000000000003;3.8106235565819895
