Date;Venue;Country;Course name;Course setter;Gates (#);Turning Gates (#);Start Altitude (m);Finish Altitude (m);Vertical Drop (m);Start time;Weather;Snow;Temp Start (°C);Temp Finish (°C);Run;Nation;Best;Is Fastest?;ID;total time (sec);Gate 01 (ms);Gate 02;Gate 03;Gate 04;Gate 05;Gate 06;Gate 07;Gate 08;Gate 09;Gate 10;Gate 11;Gate 12;Gate 13;Gate 14;Gate 15;Gate 16;Gate 17;Gate 18;Gate 19;Gate 20;Gate 21;Gate 22;Gate 23;Gate 24;Gate 25;Gate 26;Gate 27;Gate 28;Gate 29;Gate 30;Gate 31;Gate 32;Gate 33;Gate 34;Gate 35;Gate 36;Gate 37;Gate 38;Gate 39;Gate 40;Gate 41;Gate 42;Gate 43;Gate 44;Gate 45;Gate 46;Gate 47;Gate 48;Gate 49;Gate 50;Gate 51;Gate 52;Gate 53;Gate 54;Gate 55;Gate 56;Gate 57;Gate 58;Gate 59;Gate 60;Gate 61;Gate 62;Gate 63;Gate 64;Gate 65;Gate 66;Gate 67;Gate 68
17,03,2024;Saalbach;Austria;Ulli Maier;PAGE Kevin;74;72;1279;1060;219;13:30;PARTLY CLOUDY;SPRING CONDITIONS;10;11;2;GRE;GINNIS AJ;yes;17,03,2024Saalbach2GRE;56.67;1;0.733;0.7;0.766;0.8;1.233;0.833;0.833;0.733;1.2;0.8;0.8;1;0.7;1.033;0.733;1.233;0.8;1.2;0.7;0.866;0.866;0.9;0.8;0.866;0.833;0.833;1.366;0.9;0.866;0.866;0.9;0.866;0.833;1.633;1.233;0.766;0.6;0.7;1.4;0.666;1.233;0.766;0.866;1.2;0.966;1.1;1;1.633;1;0.966;0.833;0.833;0.733;0.7;0.8;0.766;1.2;;;;;;;;;;
17,03,2024;Saalbach;Austria;Ulli Maier;COSTAZZA Stefano;73;72;1279;1060;219;10:30;SUNNY;HARD;6;7;1;NOR;HAUGAN Timon;yes;17,03,2024Saalbach1NOR;55.59;1.4;0.866;0.666;0.833;0.4;0.766;0.833;0.833;0.833;0.833;0.733;0.8;0.866;1;1;0.866;0.9;0.466;0.9;0.866;0.8;0.9;0.8;0.9;0.866;0.433;0.866;0.833;0.833;0.866;0.833;0.833;0.9;0.866;0.9;0.866;0.866;0.833;0.766;0.466;0.7;0.7;0.8;0.666;0.8;0.433;0.4;0.666;0.833;0.8;0.8;0.833;0.466;0.9;1.266;0.833;0.833;0.733;0.833;0.8;0.733;0.433;0.666;0.666;0.666;0.633;0.766;0.733
17,03,2024;Saalbach;Austria;Ulli Maier;COSTAZZA Stefano;73;72;1279;1060;219;10:30;SUNNY;HARD;6;7;1;SUI;MEILLARD Loic;no;17,03,2024Saalbach1SUI;56.09;0.9;0.833;0.833;0.833;0.433;0.833;0.833;1;0.833;0.8;0.766;0.8;0.833;1.033;0.833;0.966;0.866;0.466;0.866;0.866;0.833;0.833;0.966;0.866;0.866;0.433;0.866;0.933;1.1;1.366;1.1;0.9;0.9;0.9;0.866;0.966;0.866;0.833;0.733;0.433;0.733;0.733;0.733;0.7;0.766;0.433;0.4;0.733;0.733;0.866;0.866;1.1;0.533;0.866;1.166;0.933;0.9;0.8;0.833;0.8;0.666;0.4;0.666;0.666;0.6;0.633;0.666;0.7
24,01,2024;Schladming;Austria;Planai;MITTER Christian;63;61;958;744;214;20:45;RAIN;COMPACT;3;5;2;AUT;GSTREIN Fabio;yes;24,01,2024Schladming2AUT;53.93;0.866;0.8;0.4;1;0.7;0.966;0.8;0.9;0.833;0.466;0.8;0.866;0.9;0.533;0.533;1;1.133;1;1.1;1.033;0.533;0.833;0.6;0.9;1.733;0.866;1.1;0.9;1.1;1.1;1.033;0.966;0.966;0.466;0.966;0.733;1;0.9;1.166;0.933;1.133;0.433;1.033;0.966;1.3;0.9;0.9;0.9;0.933;0.433;1.066;1.066;1.066;0.933;0.9;0.833;0.4;0.5;0.8;0.533;;;;;;;;
24,01,2024;Schladming;Austria;Planai;MITTER Christian;63;61;958;744;214;20:45;RAIN;COMPACT;3;5;2;SUI;ROCHAT Marc;no;24,01,2024Schladming2SUI;54.56;0.9;0.8;0.433;0.966;0.7;0.9;0.933;0.933;0.9;0.433;0.866;0.933;0.966;0.533;0.533;1.066;1.1;1;1.033;1.1;0.466;0.833;0.6;0.9;1.6;0.966;1.066;0.866;1.033;1.1;0.933;1.033;0.933;0.433;0.966;0.733;1.1;1;1.1;0.966;1.1;0.466;1;0.9;1.4;0.9;0.933;0.866;1;0.433;1.133;1.066;1.1;0.933;1;0.866;0.4;0.566;0.8;0.566;;;;;;;;
24,01,2024;Schladming;Austria;Planai;MUNIER Fabien;63;61;958;744;214;17:45;PARTLY CLOUDY;COMPACT;6;7;1;GER;STRASSER Linus;yes;24,01,2024Schladming1GER;50.46;0.866;0.833;0.866;0.4;0.866;0.666;0.9;0.766;0.866;0.766;1.366;0.766;0.866;0.633;0.9;0.933;0.733;0.366;0.9;0.766;0.833;0.833;0.9;0.933;0.933;0.9;0.9;0.933;0.533;1.066;0.966;0.833;0.4;1.033;0.9;0.9;0.866;0.9;0.833;1.366;0.866;0.8;0.866;0.766;0.366;0.9;0.766;0.833;0.433;0.566;1;0.833;0.7;0.866;0.8;0.766;0.366;0.866;0.733;0.766;;;;;;;;
24,01,2024;Schladming;Austria;Planai;MUNIER Fabien;63;61;958;744;214;17:45;PARTLY CLOUDY;COMPACT;6;7;1;SUI;YULE Daniel;no;24,01,2024Schladming1SUI;51.24;0.9;0.766;0.833;0.466;0.9;0.733;0.866;0.766;0.8;0.833;1.3;0.8;0.9;0.7;0.9;0.866;0.833;0.366;0.8;0.766;0.9;0.866;0.9;0.9;0.9;0.9;0.933;1;0.5;1.1;0.9;0.966;0.433;1.1;0.766;1;0.933;1;0.866;1.433;0.9;0.9;0.866;0.866;0.366;0.966;0.766;0.8;0.366;0.466;0.9;0.9;0.733;0.866;0.866;0.733;0.433;0.9;0.666;0.733;;;;;;;;
14,01,2024;Wengen;Switzerland;Maennlichen;KROISLEITNER Martin;67;65;1475;1281;194;10:15;SUNNY;HARD PACKED;-3;-2;1;NOR;MCGRATH Atle Lie;yes;14,01,2024Wengen1NOR;53.67;0.88;0.82;0.8;0.86;0.42;0.84;0.8;0.88;0.88;0.88;0.8;0.76;0.9;0.84;0.8;0.8;0.36;0.9;0.86;0.88;0.86;0.84;0.44;0.4;0.82;0.78;0.92;1.16;0.84;1;1.02;1;0.92;0.48;0.98;0.86;1.3;0.8;0.76;0.82;0.86;0.9;0.88;0.8;0.4;0.56;1.06;1.5;0.92;0.84;0.42;0.82;0.8;0.84;1.08;1.06;0.82;0.72;0.64;0.74;0.42;0.46;1.46;;;;;
14,01,2024;Wengen;Switzerland;Maennlichen;ROTEN Jorg;65;64;1475;1281;194;13:15;PARTLY CLOUDY;HARD PACKED;-1;0;2;SUI;MEILLARD Loic;no;14,01,2024Wengen2SUI;56.23;0.86;0.72;0.86;0.88;0.88;0.86;0.82;0.42;0.94;1.08;0.86;0.84;0.86;0.9;0.86;0.46;0.92;0.92;0.82;0.8;0.74;0.46;0.44;0.76;0.78;0.88;1.02;0.98;1.12;1.2;1.14;1.08;1.12;0.68;1.02;0.9;1.42;0.78;1.06;0.92;1;0.52;1;1.06;1.18;0.94;0.94;0.9;0.96;0.88;0.86;0.54;1.1;1.12;1.06;0.94;0.44;0.46;0.76;0.72;0.82;0.72;0.66;;;;;
14,01,2024;Wengen;Switzerland;Maennlichen;ROTEN Jorg;65;64;1475;1281;194;13:15;PARTLY CLOUDY;HARD PACKED;-1;0;2;FRA;NOEL Clement;yes;14,01,2024Wengen2FRA;55.82;0.8;0.76;0.88;0.9;0.84;0.84;0.8;0.42;0.92;1.14;0.78;0.8;0.88;0.86;0.8;0.44;0.88;0.88;0.86;0.82;0.8;0.44;0.48;0.8;0.7;0.9;1.02;1.1;1.08;1.12;1.16;1.02;1.14;0.64;0.98;0.84;1.44;0.8;1.02;0.9;0.92;0.52;0.98;1.16;1.18;0.88;0.84;0.88;0.84;0.88;0.9;0.54;1.08;1.16;1.06;0.94;0.48;0.48;0.84;0.74;0.78;0.76;0.74;;;;;
14,01,2024;Wengen;Switzerland;Maennlichen;KROISLEITNER Martin;67;65;1475;1281;194;10:15;SUNNY;HARD PACKED;-3;-2;1;SUI;ROCHAT Marc;no;14,01,2024Wengen1SUI;54.86;0.9;0.88;0.86;0.94;0.42;0.98;0.86;0.9;0.92;0.9;0.86;0.5;0.98;0.84;0.84;0.78;0.38;0.98;0.84;0.9;0.9;0.84;0.4;0.44;0.8;0.82;0.88;1.06;1.18;1.04;1.14;0.96;0.96;0.44;0.98;0.88;1.28;0.84;0.8;0.8;0.88;0.92;0.88;0.84;0.4;0.52;1.14;1.38;0.92;0.94;0.46;0.88;0.84;0.88;1.04;1;0.86;0.72;0.64;0.72;0.42;0.5;1.42;;;;;
