Date;Venue;Country;Course name;Course setter;Gates (#);Turning Gates (#);Start Altitude (m);Finish Altitude (m);Vertical Drop (m);Start time;Weather;Snow;Temp Start (°C);Temp Finish (°C);Run;Nation;Best;Is Fastest?;ID;total time (sec);Gate 01 (ms);Gate 02;Gate 03;Gate 04;Gate 05;Gate 06;Gate 07;Gate 08;Gate 09;Gate 10;Gate 11;Gate 12;Gate 13;Gate 14;Gate 15;Gate 16;Gate 17;Gate 18;Gate 19;Gate 20;Gate 21;Gate 22;Gate 23;Gate 24;Gate 25;Gate 26;Gate 27;Gate 28;Gate 29;Gate 30;Gate 31;Gate 32;Gate 33;Gate 34;Gate 35;Gate 36;Gate 37;Gate 38;Gate 39;Gate 40;Gate 41;Gate 42;Gate 43;Gate 44;Gate 45;Gate 46;Gate 47;Gate 48;Gate 49;Gate 50;Gate 51;Gate 52;Gate 53;Gate 54;Gate 55;Gate 56;Gate 57;Gate 58;Gate 59;Gate 60;Gate 61;Gate 62;Gate 63;Gate 64;Gate 65;Gate 66;Gate 67;Gate 68
04,02,2024;Chamonix;France;Verte;PLATTNER Roland;61;59;1169;985;184;12:30;SUNNY;COMPACT;6;8;2;SUI;NEF Tanguy;no;04,02,2024Chamonix2SUI;48.26;1.066;0.866;0.866;0.766;0.9;0.466;1.1;0.866;1;0.933;0.9;0.9;0.866;0.766;0.766;0.833;0.466;0.933;0.866;0.766;0.833;0.733;0.833;1.333;0.433;0.966;1;0.933;1.066;0.8;0.8;0.733;0.933;0.866;0.466;0.833;0.9;0.8;0.866;0.9;0.833;0.766;1.2;0.7;0.733;0.7;0.733;0.366;0.766;0.733;0.8;0.833;0.8;0.766;0.4;0.433;0.6;0.633;46.713;;;;;;;;;
04,02,2024;Chamonix;France;Verte;VIETZE Sandy;59;58;1169;985;184;09:30;SUNNY;COMPACT;4;2;1;FRA;NOEL Clement;yes;04,02,2024Chamonix1FRA;47.09;0.9;0.9;0.866;0.833;0.833;0.933;0.5;1;1;0.966;0.966;0.866;0.9;0.4;1;0.8;1;0.9;0.8;0.733;0.7;0.433;0.966;0.8;0.933;0.933;0.966;0.966;1;0.5;1;0.8;0.966;0.733;0.866;0.833;0.8;0.766;0.866;0.733;0.433;0.866;0.766;0.733;0.733;1.033;0.366;0.4;0.7;0.7;0.433;0.766;1;0.766;0.833;0.766;;;;;;;;;;;;
04,02,2024;Chamonix;France;Verte;PLATTNER Roland;61;59;1169;985;184;12:30;SUNNY;COMPACT;6;8;2;SUI;YULE Daniel;yes;04,02,2024Chamonix2SUI;47.22;1.066;0.866;0.833;0.7;0.833;0.433;1;0.833;0.933;0.866;0.9;0.8;0.9;0.733;0.8;0.866;0.5;0.933;0.833;0.7;0.8;0.733;0.8;1.3;0.366;0.933;1.066;0.833;1;0.766;0.733;0.733;0.9;0.866;0.5;0.9;0.866;0.766;0.866;0.833;0.833;0.733;1.133;0.7;0.666;0.733;0.733;0.433;0.733;0.733;0.833;0.8;0.833;0.766;0.433;0.433;0.6;0.666;45.682;;;;;;;;;
18,11,2023;Gurgl;Austria;Kirchenklar;GLEBOV Alec;66;65;2475;2265;210;10:45;SUNNY;COMPACT;-9;-9;1;AUT;FELLER Manuel;yes;18,11,2023Gurgl1AUT;53.22;1.033;0.8;0.833;0.8;0.4;0.833;0.9;0.833;0.833;0.666;0.766;0.7;0.7;0.433;1.033;0.966;0.833;0.966;0.933;1.033;0.933;1.1;1.033;1.066;0.966;0.966;0.7;0.933;0.833;0.966;0.933;0.9;0.966;0.9;0.933;0.9;0.9;1;0.5;0.966;0.9;0.866;0.8;0.766;0.866;0.8;0.733;0.366;0.5;0.666;0.666;0.733;0.566;0.366;0.466;0.766;0.666;0.766;1.166;0.766;0.833;0.766;0.7;0.566;;;;
18,11,2023;Gurgl;Austria;Kirchenklar;GLEBOV Alec;66;65;2475;2265;210;10:45;SUNNY;COMPACT;-9;-9;1;SUI;MEILLARD Loic;no;18,11,2023Gurgl1SUI;54.32;1.066;0.733;0.833;0.766;0.366;0.833;0.866;0.866;0.9;0.7;0.8;0.7;0.766;0.4;1;1;0.9;0.966;0.966;1;1;1.066;0.966;1.033;1.033;1;0.566;0.966;0.933;0.9;0.933;1;0.966;0.833;1.033;0.933;0.9;0.933;0.533;1.133;1.033;0.933;0.933;0.866;0.833;0.8;0.7;0.333;0.466;0.733;0.666;0.733;0.766;0.4;0.5;0.733;0.7;0.8;1.166;0.766;0.866;0.8;0.7;0.533;;;;
18,11,2023;Gurgl;Austria;Kirchenklar;COSTAZZA Stefano;63;62;2475;2265;210;13:45;SUNNY;COMPACT;-5;-4;2;SUI;NEF Tanguy;no;18,11,2023Gurgl2SUI;53.32;1.033;0.8;0.8;0.833;0.833;0.933;0.433;0.966;0.966;1.033;1;0.433;0.866;0.933;1.066;1.1;1.133;0.966;1.133;1.1;0.966;1;0.9;0.933;0.966;0.466;0.933;0.933;0.966;1.066;0.866;1.4;1;0.466;0.933;0.966;1;1;0.966;0.933;1.133;0.866;0.866;0.433;0.4;0.733;0.733;0.766;0.7;0.8;0.3;0.433;0.666;0.766;0.3;0.7;0.8;0.833;0.9;0.666;0.666;;;;;;;
18,11,2023;Gurgl;Austria;Kirchenklar;COSTAZZA Stefano;63;62;2475;2265;210;13:45;SUNNY;COMPACT;-5;-4;2;AUT;SCHWARZ Marco;yes;18,11,2023Gurgl2AUT;53.08;1.033;0.766;0.766;0.8;0.833;0.866;0.433;0.866;1;0.933;0.866;0.4;0.833;1;1.1;1.1;1.066;1.1;1.133;1.1;1.066;1.033;0.966;0.9;0.933;0.466;0.933;1.033;0.966;1.033;0.833;1.333;1.033;0.466;0.933;1.066;1;1.1;1;0.9;0.933;0.833;0.8;0.4;0.466;0.733;0.7;0.766;0.7;0.733;0.333;0.4;0.666;0.733;0.4;0.7;0.833;0.933;0.933;0.633;0.7;;;;;;;
21,01,2024;Kitzbuehel;Austria;Ganslern;del DIO Simone;60;59;1004;811;193;10:30;SUNNY;HARD;-7;-6;1;SWE;JAKOBSEN Kristoffer;yes;21,01,2024Kitzbuehel1SWE;50.09;1.033;0.9;0.966;0.833;0.9;0.933;0.866;0.4;0.9;0.766;0.833;0.966;1;0.5;1.1;1.133;1.033;0.866;0.966;0.733;0.966;0.466;0.933;1.066;1;0.833;0.9;1.1;0.9;0.766;0.833;0.366;0.866;1.133;0.933;0.966;0.9;0.566;0.8;0.466;0.9;0.833;0.9;0.8;0.833;0.433;0.5;0.733;0.8;0.866;0.833;0.833;0.866;1.033;0.8;0.8;0.733;0.433;0.733;;;;;;;;;
21,01,2024;Kitzbuehel;Austria;Ganslern;VUINGIER Julien;61;60;1004;811;193;13:30;PARTLY CLOUDY;HARD;2;3;2;GER;STRASSER Linus;yes;21,01,2024Kitzbuehel2GER;49.87;0.966;0.866;0.833;0.866;0.433;0.866;0.833;0.866;0.9;0.966;0.866;0.9;0.466;0.933;1;1.066;1;1;0.866;1.033;0.833;0.866;0.4;1;1.066;0.766;0.766;1.333;0.766;0.733;0.4;1;0.9;1;0.933;0.933;0.933;0.866;0.5;0.9;0.833;0.933;0.833;0.766;0.366;0.4;0.7;0.733;0.8;0.866;0.466;0.966;0.833;0.9;0.8;0.7;0.766;0.833;0.766;;;;;;;;;
21,01,2024;Kitzbuehel;Austria;Ganslern;del DIO Simone;60;59;1004;811;193;10:30;SUNNY;HARD;-7;-6;1;SUI;YULE Daniel;no;21,01,2024Kitzbuehel1SUI;50.14;1;0.9;0.966;0.9;0.833;0.933;0.866;0.466;0.833;0.8;0.866;0.9;0.9;0.5;1.1;1.2;1.033;0.9;0.9;0.8;0.966;0.5;0.966;1.066;1.033;1;0.833;0.866;1.166;0.866;0.8;0.866;0.433;1;0.933;0.933;0.9;0.833;0.666;0.833;0.4;0.966;0.833;0.866;0.833;0.833;0.433;0.533;0.7;0.833;0.866;0.8;0.833;0.933;0.966;0.833;0.766;0.466;0.7;;;;;;;;;
